Player,Score 1,Score2,Score3,Score4,Score5,Score7,Score8,Score9
Aaron Albert,0,1,0,0,,,,
Aaron Aleong,4,11,11,7,11,0,,
Aaron Bratt,10,2,5,2,9,,,
Aaron Hayden,7,6,5,10,11,,,
Aaron Towler,6,2,11,9,5,,,
Aaron Wisch,11,10,1,10,9,,,
Adrian Phillips,11,1,6,1,6,,,
Adrian Sanders,10,0,0,6,,,,
Adrien Jeanniard,7,6,6,1,1,,,
Alan Avendano,2,0,6,0,9,,,
Alan Bajramovic,10,11,11,11,6,10,2,
Alan Dehesa,11,11,1,7,5,,,
Alejandro Kaiser,1,1,11,0,6,,,
Alex Bade,5,0,6,0,3,,,
Alex Gonzalez,11,4,6,1,11,,,
Alex Harrison,11,11,11,11,6,8,5,6
Alexander Fennell,6,11,10,10,7,6,,
Alexander Yuen,6,11,1,,,,,
Alfred Drake,5,0,7,10,0,,,
Allan Hernandez,11,2,10,6,9,,,
Allen Emlet,0,4,9,2,11,,,
Andrew Dedios,1,6,11,6,11,,,
Andrew Dickinger,2,11,1,11,6,,,
Andrew Ford,9,10,10,1,11,,,
Andrew Gonyo,11,11,5,11,11,,,
Andrew Helland,2,10,5,10,5,,,
Andrew Kearney,0,0,,,,,,
Anthony D'Amore,4,6,11,10,7,,,
Anthony Silva,1,4,0,11,1,,,
Arthur Oliver,11,2,1,9,4,,,
Baxter Seguin,6,10,6,1,11,,,
Ben Cherwien,11,7,5,6,2,,,
Ben Cromwell,11,11,9,0,6,,,
Ben Johnson,9,2,1,10,5,,,
Ben Nelson,11,0,0,5,,,,
Ben Schimmoller,11,6,6,10,1,,,
Ben Vaughan,5,7,11,6,0,,,
Ben Wooley,6,1,1,1,11,,,
Benjamin Nicholls,5,11,7,5,0,,,
Benjamin Vizcarra,10,6,6,6,6,,,
Bill Durrett,4,0,11,11,0,,,
Bob Kelley,1,11,9,0,0,,,
Brad Chester,10,4,11,11,6,2,,
Brad Nichols,5,2,11,11,10,,,
Brandon Grant,11,6,11,11,1,,,
Brandon Sullivan,0,9,5,10,6,,,
Brian Delgado,0,11,10,11,10,,,
Cabel Dawson,0,6,6,1,1,,,
Calen Womg,0,6,5,,,,,
Carlos Kaiser,11,1,5,9,11,,,
Carrie Ballard,1,1,11,2,1,,,
Carson Murdy,6,0,4,0,0,,,
Casey Dunn,9,0,0,8,0,,,
Casey Herbst,11,5,0,9,2,,,
Chad Ball,1,6,0,4,2,,,
Charlie Kerber,4,1,6,11,1,,,
Chase Garber,10,5,7,0,0,,,
Chris Anderson,6,5,5,1,6,,,
Chris Jones,0,7,7,5,11,,,
Chris Malone,0,0,6,0,11,,,
Chris Morgan,7,1,7,7,2,,,
Christian Moore,0,7,5,11,1,,,
Christopher Arrington,1,5,10,5,7,,,
Christopher Brown,2,2,5,1,5,,,
Christopher Gunter,9,1,11,0,0,,,
Chuck Arnett,11,6,0,10,0,,,
Chuck Marshall,11,2,1,1,5,,,
Cody Boe,1,1,10,6,2,,,
Cody Johnson,0,0,1,5,0,,,
Colin Sherlow,11,10,6,1,,,,
Cooper Waddell,11,4,11,6,1,,,
Cyle  Thompson,11,1,5,11,10,,,
Dan May,9,9,5,6,0,,,
Dan Platt,11,11,11,2,2,,,
Daniel Schimmoller,2,11,10,0,5,,,
Daniel Winters,2,0,3,10,0,,,
Danny Kwan,7,6,2,3,11,,,
Daren Mueller,3,1,7,0,1,,,
Darin  Schwartzmann,1,6,1,6,11,,,
Darrell Cash,5,2,1,0,5,,,
Darren Allen,5,1,11,2,3,,,
Darren Takemoto,3,1,6,0,9,,,
Darrin Clarke,1,4,5,3,11,,,
David Calder,9,5,5,0,9,,,
David Cutts,0,10,7,7,1,,,
David Ivings,0,11,6,7,5,,,
David Johansen,5,11,6,2,7,,,
David Pont,11,11,6,2,6,,,
David Rowland,3,6,5,2,11,,,
Denny Page,2,11,2,1,1,,,
Derek Page,6,6,7,6,11,,,
Devon Madera,1,5,5,11,5,,,
Doc Glenboski,5,5,1,11,9,,,
Don Hooson,2,10,4,5,1,,,
Doug Cole,4,4,5,1,2,,,
Elliott Levy,11,2,11,2,1,,,
Erik Damborg,4,0,5,11,0,,,
Fabio Fiorentino,6,11,6,5,0,,,
Farzad Mehdipour,1,11,6,10,11,,,
Forest Johnson,7,2,0,3,10,,,
Gage Weibert,10,1,6,1,0,,,
Gareth Hunt,11,11,5,10,10,,,
Garret Acord,10,0,0,6,2,,,
Garye Lawrence,5,10,5,10,5,,,
Geoff Robinson,2,11,11,10,7,,,
Geoff Thompson,10,11,6,2,0,,,
Gordon Danke,1,6,0,10,2,,,
Grayson Cirerol,7,0,1,2,0,,,
Greg Gonzalez,2,6,5,1,0,,,
Greg Harris,6,10,0,5,6,,,
Greg Verzosa,0,1,10,7,10,,,
Grover Shipman,1,9,1,11,2,,,
Gustav Leidstedt,11,1,2,1,1,,,
Han Rockhill,10,0,11,11,2,,,
Herb Shaffer,2,1,1,11,7,,,
Hunter Cole,10,10,0,0,11,,,
Iain McLeod,11,3,11,1,11,,,
Israel Sanchez,6,9,6,9,5,,,
Jack Gerlicher,5,0,6,7,1,,,
Jacob Ballard,1,11,7,7,1,,,
Jake Gonzalez,0,5,5,0,11,,,
James Brandetsas,0,1,1,7,5,,,
James Carmona,11,0,7,1,11,,,
James Lester,1,1,9,11,1,,,
Jamie McLay,1,10,10,1,11,,,
Jaminh Vo,11,0,1,11,2,,,
Jason Byrd,1,11,5,1,6,,,
Jason Macintyre,0,6,11,6,5,,,
Jason McCormack,0,11,0,0,,,,
Jason Peck,6,6,0,0,0,,,
Jason Rockhill,1,5,9,5,0,,,
Jason Sedlak,1,1,0,11,5,,,
Jay Gardner-Hajek,2,2,11,2,11,,,
Jay Jones,3,11,2,1,11,,,
Jeremy Ecklin,11,0,1,0,,,,
Jeremy Veysseire,6,2,11,6,11,,,
Jeshua Barker,6,5,0,10,1,,,
Jessica Edgren,1,5,1,0,,,,
Jesus Mendizabal,11,7,6,2,11,,,
Jiaqi Liu,1,5,0,0,,,,
Jim Baidacoff,2,1,6,2,7,,,
Jim Yeh,11,10,6,1,10,,,
Joe Freeman,11,0,7,2,1,,,
Joe Guzowski,7,10,6,5,1,,,
John Capson,2,10,1,11,9,,,
John Feuerhelm,1,11,1,0,1,,,
John Hickton,11,1,2,11,0,,,
John Lester,3,4,7,11,0,,,
John Macomber,6,2,1,7,5,,,
John McCool,11,11,6,10,5,,,
John Parsons,10,2,11,0,,,,
John-paul Mawet,10,8,7,0,10,,,
Johnny Chao,1,0,4,0,7,,,
Jon Costa,2,4,6,6,0,,,
Jonas Parssinen,11,9,2,0,11,,,
Jonathan Camacho,11,4,11,11,11,3,,
Jonathan Ciscon,11,11,1,6,7,,,
Jonathan Kohatsu,2,0,5,7,10,,,
Joseph Kulas,11,6,0,0,10,,,
Josh Rosenstein,1,1,11,9,1,,,
Julio Rodriguez,11,7,6,11,6,,,
Justin Del Valle,0,1,10,2,7,,,
Justin Gibbs,5,10,11,7,2,,,
Justin Jones,2,1,1,2,9,,,
Justin Takemoto,1,1,1,10,5,,,
Justin Whitton,7,8,6,2,1,,,
Karl Payne,10,0,10,2,11,,,
Ken Weber,2,0,5,10,5,,,
Kevin Berrie,11,0,11,2,1,,,
Kian Alden,6,0,2,11,2,,,
Kiel Skriver,2,8,1,,,,,
Kris Mills,1,1,5,10,2,,,
Kristjan Blondal,2,2,2,2,6,,,
Kurt Clauss,10,11,10,1,7,,,
