Player,Army,Score 1,Score2,Score3,Score4,Score5,Score7,Score8,Score9
Alex Harrison,Eldar,11,11,11.0,11.0,6.0,8.0,5.0,6.0
Sean Nayden,Eldar,11,9,10.0,7.0,7.0,7.0,5.0,5.0
Steven Sisk,Space Marines,10,11,10.0,11.0,8.0,10.0,2.0,
Alan Bajramovic,Chaos Daemons,10,11,11.0,11.0,6.0,10.0,2.0,
Alexander Fennell,Necrons,6,11,10.0,10.0,7.0,6.0,,
Brad Chester,Eldar,10,4,11.0,11.0,6.0,2.0,,
Jonathan Camacho,Necrons,11,4,11.0,11.0,11.0,3.0,,
Tyler Devries,Eldar,11,7,5.0,11.0,9.0,,,
Aaron Aleong,Dark Angels,4,11,11.0,7.0,11.0,0.0,,
Michael Snider,Necrons,11,11,10.0,2.0,9.0,,,
Aaron Wisch,Dark Angels,11,10,1.0,10.0,9.0,,,
Trevor Van Cleave,Tau Empire,5,11,7.0,10.0,6.0,,,
Geoff Robinson,Cult Mechanicus,2,11,11.0,10.0,7.0,,,
Jim Yeh,Chaos Daemons,11,10,6.0,1.0,10.0,,,
Ben Cromwell,Cult Mechanicus,11,11,9.0,0.0,6.0,,,
Kurt Clauss,Eldar,10,11,10.0,1.0,7.0,,,
John-paul Mawet,Renegades,10,8,7.0,0.0,10.0,,,
Israel Sanchez,Tau Empire,6,9,6.0,9.0,5.0,,,
Anthony D'Amore,Space Marines,4,6,11.0,10.0,7.0,,,
Allan Hernandez,Eldar,11,2,10.0,6.0,9.0,,,
Thomas Reidy,Grey Knights,7,11,6.0,6.0,5.0,,,
Vincent Arroyo,Chaos Space Marines,6,6,7.0,2.0,10.0,,,
Shane Bankard,Inquisition,11,6,6.0,1.0,7.0,,,
Jamie McLay,Space Marines,1,10,10.0,1.0,11.0,,,
Benjamin Vizcarra,Space Marines,10,6,6.0,6.0,6.0,,,
Brandon Grant,Dark Angels,11,6,11.0,11.0,1.0,,,
Andrew Gonyo,Tau Empire,11,11,5.0,11.0,11.0,,,
Aaron Hayden,Renegades,7,6,5.0,10.0,11.0,,,
Gareth Hunt,Renegades,11,11,5.0,10.0,10.0,,,
Carlos Kaiser,Renegades,11,1,5.0,9.0,11.0,,,
Thomas Ogden,Tau Empire,11,11,5.0,11.0,7.0,,,
Garye Lawrence,Adepta Sororitas,5,10,5.0,10.0,5.0,,,
William Abilez,Eldar,5,10,6.0,11.0,11.0,,,
Jesus Mendizabal,Dark Eldar,11,7,6.0,2.0,11.0,,,
Werner Born,Necrons,11,9,1.0,9.0,7.0,,,
Julio Rodriguez,Space Marines,11,7,6.0,11.0,6.0,,,
Brandon Sullivan,Chaos Daemons,0,9,5.0,10.0,6.0,,,
Alex Gonzalez,Necrons,11,4,6.0,1.0,11.0,,,
Christopher Arrington,Eldar,1,5,10.0,5.0,7.0,,,
Phil Harlos,Cult Mechanicus,2,11,6.0,11.0,11.0,,,
Dan Platt,Dark Angels,11,11,11.0,2.0,2.0,,,
Andrew Ford,Eldar,9,10,10.0,1.0,11.0,,,
Matt Robertson,Eldar,11,11,10.0,11.0,2.0,,,
Alan Dehesa,Renegades,11,11,1.0,7.0,5.0,,,
Justin Gibbs,Tyranids,5,10,11.0,7.0,2.0,,,
Richard Martin,Tau Empire,0,11,9.0,11.0,11.0,,,
Matt Lewis,Dark Angels,6,11,5.0,11.0,1.0,,,
Trent Northington,Eldar,2,11,7.0,11.0,2.0,,,
Matt Barlow,Tyranids,1,11,1.0,10.0,11.0,,,
Karl Payne,Space Marines,10,0,10.0,2.0,11.0,,,
Marcus Martin,Eldar,3,7,11.0,1.0,11.0,,,
Brian Delgado,Eldar,0,11,10.0,11.0,10.0,,,
Paul McKelvey,Tau Empire,10,6,6.0,10.0,11.0,,,
Rich  Kilton,Orks,5,5,6.0,10.0,6.0,,,
Lawrence Baker,Eldar,11,2,10.0,3.0,11.0,,,
Andrew Dickinger,Tau Empire,2,11,1.0,11.0,6.0,,,
Willow Ryder,Dark Eldar,6,1,11.0,11.0,11.0,,,
Hunter Cole,Dark Eldar,10,10,0.0,0.0,11.0,,,
Farzad Mehdipour,Eldar,1,11,6.0,10.0,11.0,,,
Richard Utri,Tau Empire,11,0,2.0,11.0,6.0,,,
Matthew Ballard,Eldar,2,10,7.0,1.0,11.0,,,
Brad Nichols,Tau Empire,5,2,11.0,11.0,10.0,,,
Chris Jones,Imperial Knights,0,7,7.0,5.0,11.0,,,
Baxter Seguin,Necrons,6,10,6.0,1.0,11.0,,,
Vince Weibert,Space Marines,10,5,1.0,11.0,6.0,,,
Vincent Price,Imperial Knights,11,0,6.0,11.0,1.0,,,
Matthew Schuchman,Eldar,11,0,11.0,1.0,10.0,,,
Matt Johansen,Eldar,11,11,1.0,1.0,6.0,,,
Randall Nelson,Eldar,1,2,10.0,11.0,6.0,,,
matt Evans,Cult Mechanicus,6,5,11.0,5.0,11.0,,,
David Ivings,Eldar,0,11,6.0,7.0,5.0,,,
Chuck Arnett,Tau Empire,11,6,0.0,10.0,0.0,,,
Max Betich,Tyranids,1,11,6.0,5.0,5.0,,,
Jeremy Veysseire,Tau Empire,6,2,11.0,6.0,11.0,,,
Seth Rourk,Chaos Daemons,8,1,11.0,10.0,6.0,,,
Benjamin Nicholls,Dark Eldar,5,11,7.0,5.0,0.0,,,
Teddy Barker,Necrons,7,0,7.0,11.0,2.0,,,
William Friend,Space Marines,7,11,1.0,2.0,11.0,,,
Mike Kiser,Adepta Sororitas,7,5,7.0,10.0,2.0,,,
Andrew Dedios,Space Wolves,1,6,11.0,6.0,11.0,,,
Darin  Schwartzmann,Cult Mechanicus,1,6,1.0,6.0,11.0,,,
Aaron Towler,Cult Mechanicus,6,2,11.0,9.0,5.0,,,
David Johansen,Space Marines,5,11,6.0,2.0,7.0,,,
David Calder,Space Marines,9,5,5.0,0.0,9.0,,,
Todd Johansson,Tyranids,2,4,6.0,0.0,11.0,,,
Adrian Phillips,Cult Mechanicus,11,1,6.0,1.0,6.0,,,
Ben Johnson,Space Marines,9,2,1.0,10.0,5.0,,,
Adrien Jeanniard,Chaos Daemons,7,6,6.0,1.0,1.0,,,
John McCool,Orks,11,11,6.0,10.0,5.0,,,
Michael Schwartz,Space Marines,5,4,11.0,11.0,5.0,,,
Mark Crombleholme,Space Marines,1,10,3.0,11.0,11.0,,,
Derek Page,Imperial Knights,6,6,7.0,6.0,11.0,,,
Sean Morgan,Eldar,11,11,5.0,1.0,11.0,,,
Danny Kwan,Blood Angels,7,6,2.0,3.0,11.0,,,
Ben Schimmoller,Space Marines,11,6,6.0,10.0,1.0,,,
Fabio Fiorentino,Necrons,6,11,6.0,5.0,0.0,,,
Jonathan Ciscon,Space Marines,11,11,1.0,6.0,7.0,,,
Tim Hosker,Space Wolves,5,11,7.0,2.0,2.0,,,
Ben Cherwien,Space Marines,11,7,5.0,6.0,2.0,,,
Tim Dagnall,Khorne Daemonkin,10,6,6.0,2.0,10.0,,,
Cooper Waddell,Space Marines,11,4,11.0,6.0,1.0,,,
Sean Porter,Astra Militarum,11,4,5.0,0.0,11.0,,,
Ben Vaughan,Imperial Knights,5,7,11.0,6.0,0.0,,,
Jonathan Kohatsu,Dark Angels,2,0,5.0,7.0,10.0,,,
Alejandro Kaiser,Space Marines,1,1,11.0,0.0,6.0,,,
Noah Small,Astra Militarum,0,6,7.0,0.0,6.0,,,
Michael Bass,Tau Empire,3,11,2.0,10.0,5.0,,,
Cyle  Thompson,Blood Angels,11,1,5.0,11.0,10.0,,,
Patrick McAneeny,Space Marines,11,10,2.0,11.0,4.0,,,
Iain McLeod,Eldar,11,3,11.0,1.0,11.0,,,
Daniel Schimmoller,Space Marines,2,11,10.0,0.0,5.0,,,
Sean Canning,Cult Mechanicus,11,11,1.0,1.0,4.0,,,
Andrew Helland,Necrons,2,10,5.0,10.0,5.0,,,
Ryan Mead,Chaos Space Marines,11,1,10.0,11.0,0.0,,,
Jonas Parssinen,Eldar,11,9,2.0,0.0,11.0,,,
Robert Dayton,Chaos Space Marines,4,10,10.0,0.0,3.0,,,
Steve Baytos,Orks,11,0,11.0,9.0,5.0,,,
Elliott Levy,Eldar,11,2,11.0,2.0,1.0,,,
Bill Durrett,Space Wolves,4,0,11.0,11.0,0.0,,,
Aaron Bratt,Space Marines,10,2,5.0,2.0,9.0,,,
Kevin Berrie,Cult Mechanicus,11,0,11.0,2.0,1.0,,,
Mark Hayes,Eldar,10,5,4.0,11.0,1.0,,,
Trevor Sandoval,Eldar,10,6,5.0,11.0,2.0,,,
Jaminh Vo,Tyranids,11,0,1.0,11.0,2.0,,,
Wesley Pauley,Astra Militarum,11,11,1.0,10.0,1.0,,,
John Capson,Eldar,2,10,1.0,11.0,9.0,,,
Han Rockhill,Renegades,10,0,11.0,11.0,2.0,,,
Jason Byrd,Cult Mechanicus,1,11,5.0,1.0,6.0,,,
Ryan Ray,Eldar,1,10,2.0,9.0,11.0,,,
Geoff Thompson,Space Wolves,10,11,6.0,2.0,0.0,,,
Reggie Sanchez,Tau Empire,6,0,11.0,7.0,5.0,,,
Mike Kriegler,Khorne Daemonkin,6,0,11.0,6.0,11.0,,,
Grover Shipman,Orks,1,9,1.0,11.0,2.0,,,
Dan May,Space Marines,9,9,5.0,6.0,0.0,,,
Marc Parker,Necrons,1,11,11.0,7.0,2.0,,,
Matt Onken,Chaos Space Marines,3,6,11.0,1.0,11.0,,,
Josh Rosenstein,Khorne Daemonkin,1,1,11.0,9.0,1.0,,,
Chris Anderson,Necrons,6,5,5.0,1.0,6.0,,,
Wesley Szmaglik,Harlequins,3,11,2.0,11.0,1.0,,,
Doc Glenboski,Adepta Sororitas,5,5,1.0,11.0,9.0,,,
Herb Shaffer,Dark Eldar,2,1,1.0,11.0,7.0,,,
Will Hodges,Space Marines,9,1,11.0,1.0,10.0,,,
Phil Tracy,Space Marines,0,10,1.0,11.0,0.0,,,
Devon Madera,Space Marines,1,5,5.0,11.0,5.0,,,
Kyle Watson,Skitarii,6,0,11.0,2.0,11.0,,,
James Carmona,Khorne Daemonkin,11,0,7.0,1.0,11.0,,,
Ben Wooley,Dark Angels,6,1,1.0,1.0,11.0,,,
Timothy Dierdorff,Astra Militarum,0,11,7.0,5.0,7.0,,,
Jason Rockhill,Astra Militarum,1,5,9.0,5.0,0.0,,,
Mike Larson,Chaos Daemons,1,10,8.0,1.0,11.0,,,
Jake Gonzalez,Orks,0,5,5.0,0.0,11.0,,,
Mason Moore,Orks,1,7,11.0,11.0,0.0,,,
Kris Mills,Eldar,1,1,5.0,10.0,2.0,,,
Phil Rodokanakis,Dark Angels,11,0,1.0,7.0,0.0,,,
Tuan Tran,Necrons,2,10,5.0,2.0,10.0,,,
Joe Freeman,Tyranids,11,0,7.0,2.0,1.0,,,
Jack Gerlicher,Dark Eldar,5,0,6.0,7.0,1.0,,,
Rob Porter,Cult Mechanicus,1,2,11.0,0.0,5.0,,,
Chris Morgan,Blood Angels,7,1,7.0,7.0,2.0,,,
Greg Verzosa,Eldar,0,1,10.0,7.0,10.0,,,
Joe Guzowski,Orks,7,10,6.0,5.0,1.0,,,
Sean Teague,Imperial Knights,0,6,7.0,11.0,5.0,,,
Jacob Ballard,Orks,1,11,7.0,7.0,1.0,,,
David Cutts,Dark Angels,0,10,7.0,7.0,1.0,,,
Kian Alden,Renegades,6,0,2.0,11.0,2.0,,,
Greg Harris,Imperial Knights,6,10,0.0,5.0,6.0,,,
Ross Sterratt,Grey Knights,1,6,11.0,7.0,0.0,,,
Jim Baidacoff,Necrons,2,1,6.0,2.0,7.0,,,
Peter Kelly,Chaos Daemons,0,0,7.0,4.0,10.0,,,
Justin Whitton,Space Marines,7,8,6.0,2.0,1.0,,,
Stephen Lind,Eldar,6,9,0.0,0.0,0.0,,,
Robert Woods,Cult Mechanicus,1,0,6.0,7.0,0.0,,,
Robert Cervantes,Chaos Space Marines,0,1,5.0,1.0,11.0,,,
Alfred Drake,Tau Empire,5,0,7.0,10.0,0.0,,,
David Pont,Eldar,11,11,6.0,2.0,6.0,,,
Thomas Hegstrom Oakey,Space Marines,11,10,5.0,5.0,5.0,,,
Paul Barker,Eldar,2,2,7.0,2.0,11.0,,,
Sean Robles,Cult Mechanicus,1,10,5.0,5.0,11.0,,,
Steve Berndt,Eldar,2,5,11.0,2.0,10.0,,,
Sean  McNamara,Space Marines,2,5,6.0,10.0,0.0,,,
Colin Sherlow,Eldar,11,10,6.0,1.0,,,,
Maxwell Hill,Skitarii,0,2,6.0,8.0,1.0,,,
David Rowland,Space Marines,3,6,5.0,2.0,11.0,,,
Alan Avendano,Chaos Daemons,2,0,6.0,0.0,9.0,,,
Thomas Burton,Space Marines,11,0,6.0,11.0,0.0,,,
Joseph Kulas,Chaos Daemons,11,6,0.0,0.0,10.0,,,
Gage Weibert,Space Marines,10,1,6.0,1.0,0.0,,,
Casey Dunn,Khorne Daemonkin,9,0,0.0,8.0,0.0,,,
Erik Damborg,Necrons,4,0,5.0,11.0,0.0,,,
Ken Weber,Imperial Knights,2,0,5.0,10.0,5.0,,,
John Macomber,Orks,6,2,1.0,7.0,5.0,,,
Lyzz Foster,Cult Mechanicus,2,1,1.0,5.0,6.0,,,
Macllin Heaward,Chaos Daemons,2,1,5.0,6.0,1.0,,,
Darrin Clarke,Blood Angels,1,4,5.0,3.0,11.0,,,
Reid Oshiro,Eldar,11,0,1.0,5.0,5.0,,,
Stephen Parello,Blood Angels,11,5,2.0,1.0,11.0,,,
Michael Fox,Orks,10,5,5.0,1.0,10.0,,,
Jay Gardner-Hajek,Chaos Daemons,2,2,11.0,2.0,11.0,,,
Jason Macintyre,Chaos Space Marines,0,6,11.0,6.0,5.0,,,
Tim Smith,Eldar,11,2,2.0,1.0,11.0,,,
Matt Volkar,Khorne Daemonkin,1,1,5.0,10.0,1.0,,,
Scott Freeman,Orks,2,2,1.0,11.0,11.0,,,
Jay Jones,Eldar,3,11,2.0,1.0,11.0,,,
Jason Sedlak,Chaos Daemons,1,1,0.0,11.0,5.0,,,
Casey Herbst,Eldar,11,5,0.0,9.0,2.0,,,
Arthur Oliver,Eldar,11,2,1.0,9.0,4.0,,,
Allen Emlet,Blood Angels,0,4,9.0,2.0,11.0,,,
Kristjan Blondal,Space Marines,2,2,2.0,2.0,6.0,,,
John Lester,Imperial Knights,3,4,7.0,11.0,0.0,,,
Steve Thoma,Tau Empire,2,6,0.0,11.0,5.0,,,
John Hickton,Tau Empire,11,1,2.0,11.0,0.0,,,
Gustav Leidstedt,Tau Empire,11,1,2.0,1.0,1.0,,,
Logan Mulroney,Orks,11,1,2.0,1.0,10.0,,,
Obadiah Hampton,Adepta Sororitas,10,2,5.0,5.0,1.0,,,
Christian Moore,Imperial Knights,0,7,5.0,11.0,1.0,,,
Charlie Kerber,Chaos Daemons,4,1,6.0,11.0,1.0,,,
Myles Luera,Space Marines,6,1,2.0,11.0,1.0,,,
Oliver Reeves,Space Marines,0,0,11.0,0.0,10.0,,,
John Parsons,Chaos Space Marines,10,2,11.0,0.0,,,,
Justin Takemoto,Orks,1,1,1.0,10.0,5.0,,,
James Lester,Grey Knights,1,1,9.0,11.0,1.0,,,
