Player,Army
Alex Harrison,Eldar
Sean Nayden,Eldar
Steven Sisk,Space Marines
Alan Bajramovic,Chaos Daemons
Alexander Fennell,Necrons
Brad Chester,Eldar
Jonathan Camacho,Necrons
Tyler Devries,Eldar
Aaron Aleong,Dark Angels
Michael Snider,Necrons
Aaron Wisch,Dark Angels
Trevor Van Cleave,Tau Empire
Geoff Robinson,Cult Mechanicus
Jim Yeh,Chaos Daemons
Ben Cromwell,Cult Mechanicus
Kurt Clauss,Eldar
John-paul Mawet,Renegades
Israel Sanchez,Tau Empire
Anthony D'Amore,Space Marines
Allan Hernandez,Eldar
Thomas Reidy,Grey Knights
Vincent Arroyo,Chaos Space Marines
Shane Bankard,Inquisition
Jamie McLay,Space Marines
Benjamin Vizcarra,Space Marines
Brandon Grant,Dark Angels
Andrew Gonyo,Tau Empire
Aaron Hayden,Renegades
Gareth Hunt,Renegades
Carlos Kaiser,Renegades
Thomas Ogden,Tau Empire
Garye Lawrence,Adepta Sororitas
William Abilez,Eldar
Jesus Mendizabal,Dark Eldar
Werner Born,Necrons
Julio Rodriguez,Space Marines
Brandon Sullivan,Chaos Daemons
Alex Gonzalez,Necrons
Christopher Arrington,Eldar
Phil Harlos,Cult Mechanicus
Dan Platt,Dark Angels
Andrew Ford,Eldar
Matt Robertson,Eldar
Alan Dehesa,Renegades
Justin Gibbs,Tyranids
Richard Martin,Tau Empire
Matt Lewis,Dark Angels
Trent Northington,Eldar
Matt Barlow,Tyranids
Karl Payne,Space Marines
Marcus Martin,Eldar
Brian Delgado,Eldar
Paul McKelvey,Tau Empire
Rich  Kilton,Orks
Lawrence Baker,Eldar
Andrew Dickinger,Tau Empire
Willow Ryder,Dark Eldar
Hunter Cole,Dark Eldar
Farzad Mehdipour,Eldar
Richard Utri,Tau Empire
Matthew Ballard,Eldar
Brad Nichols,Tau Empire
Chris Jones,Imperial Knights
Baxter Seguin,Necrons
Vince Weibert,Space Marines
Vincent Price,Imperial Knights
Matthew Schuchman,Eldar
Matt Johansen,Eldar
Randall Nelson,Eldar
matt Evans,Cult Mechanicus
David Ivings,Eldar
Chuck Arnett,Tau Empire
Max Betich,Tyranids
Jeremy Veysseire,Tau Empire
Seth Rourk,Chaos Daemons
Benjamin Nicholls,Dark Eldar
Teddy Barker,Necrons
William Friend,Space Marines
Mike Kiser,Adepta Sororitas
Andrew Dedios,Space Wolves
Darin  Schwartzmann,Cult Mechanicus
Aaron Towler,Cult Mechanicus
David Johansen,Space Marines
David Calder,Space Marines
Todd Johansson,Tyranids
Adrian Phillips,Cult Mechanicus
Ben Johnson,Space Marines
Adrien Jeanniard,Chaos Daemons
John McCool,Orks
Michael Schwartz,Space Marines
Mark Crombleholme,Space Marines
Derek Page,Imperial Knights
Sean Morgan,Eldar
Danny Kwan,Blood Angels
Ben Schimmoller,Space Marines
Fabio Fiorentino,Necrons
Jonathan Ciscon,Space Marines
Tim Hosker,Space Wolves
Ben Cherwien,Space Marines
Tim Dagnall,Khorne Daemonkin
Cooper Waddell,Space Marines
Sean Porter,Astra Militarum
Ben Vaughan,Imperial Knights
Jonathan Kohatsu,Dark Angels
Alejandro Kaiser,Space Marines
Noah Small,Astra Militarum
Michael Bass,Tau Empire
Cyle  Thompson,Blood Angels
Patrick McAneeny,Space Marines
Iain McLeod,Eldar
Daniel Schimmoller,Space Marines
Sean Canning,Cult Mechanicus
Andrew Helland,Necrons
Ryan Mead,Chaos Space Marines
Jonas Parssinen,Eldar
Robert Dayton,Chaos Space Marines
Steve Baytos,Orks
Elliott Levy,Eldar
Bill Durrett,Space Wolves
Aaron Bratt,Space Marines
Kevin Berrie,Cult Mechanicus
Mark Hayes,Eldar
Trevor Sandoval,Eldar
